
2022/08/04 (14:45:31) | INFO: Quitting! Runtime: 00:00:58

2022/08/04 (14:57:55) | ===> btop++ v.1.2.8
2022/08/04 (14:57:55) | INFO: Logger set to DEBUG
2022/08/04 (14:57:55) | DEBUG: Using locale en_US.UTF-8
2022/08/04 (14:57:55) | INFO: Running on /dev/pts/1
2022/08/04 (14:58:43) | INFO: Quitting! Runtime: 00:00:48

2022/08/04 (14:58:44) | ===> btop++ v.1.2.8
2022/08/04 (14:58:44) | INFO: Logger set to DEBUG
2022/08/04 (14:58:44) | DEBUG: Using locale en_US.UTF-8
2022/08/04 (14:58:44) | INFO: Running on /dev/pts/1
2022/08/04 (14:59:05) | INFO: Quitting! Runtime: 00:00:21

2022/08/04 (15:48:56) | ===> btop++ v.1.2.8
2022/08/04 (15:48:56) | INFO: Logger set to DEBUG
2022/08/04 (15:48:56) | DEBUG: Using locale en_US.UTF-8
2022/08/04 (15:48:56) | INFO: Running on /dev/pts/2

2022/08/04 (17:00:25) | ===> btop++ v.1.2.8
2022/08/04 (17:00:25) | INFO: Logger set to DEBUG
2022/08/04 (17:00:25) | DEBUG: Using locale en_US.UTF-8
2022/08/04 (17:00:25) | INFO: Running on /dev/pts/2
2022/08/04 (17:00:44) | INFO: Quitting! Runtime: 00:00:19

2022/08/04 (20:43:41) | ===> btop++ v.1.2.8
2022/08/04 (20:43:41) | INFO: Logger set to DEBUG
2022/08/04 (20:43:41) | DEBUG: Using locale en_US.UTF-8
2022/08/04 (20:43:41) | INFO: Running on /dev/pts/1

2022/08/04 (20:58:12) | ===> btop++ v.1.2.8
2022/08/04 (20:58:12) | INFO: Logger set to DEBUG
2022/08/04 (20:58:12) | DEBUG: Using locale en_US.UTF-8
2022/08/04 (20:58:12) | INFO: Running on /dev/pts/0
2022/08/04 (21:09:02) | DEBUG: Writing new config file
2022/08/04 (21:09:02) | INFO: Quitting! Runtime: 00:10:50

2022/08/04 (22:18:24) | ===> btop++ v.1.2.8
2022/08/04 (22:18:24) | INFO: Logger set to DEBUG
2022/08/04 (22:18:24) | DEBUG: Using locale en_US.UTF-8
2022/08/04 (22:18:24) | INFO: Running on /dev/pts/0

2022/08/05 (13:23:43) | ===> btop++ v.1.2.8
2022/08/05 (13:23:43) | INFO: Logger set to DEBUG
2022/08/05 (13:23:43) | DEBUG: Using locale en_US.UTF-8
2022/08/05 (13:23:43) | INFO: Running on /dev/pts/0
2022/08/05 (13:23:55) | INFO: Quitting! Runtime: 00:00:12

2022/08/05 (18:50:43) | ===> btop++ v.1.2.8
2022/08/05 (18:50:43) | INFO: Logger set to DEBUG
2022/08/05 (18:50:43) | DEBUG: Using locale en_US.UTF-8
2022/08/05 (18:50:43) | INFO: Running on /dev/pts/0

2022/08/05 (18:53:12) | ===> btop++ v.1.2.8
2022/08/05 (18:53:12) | INFO: Logger set to DEBUG
2022/08/05 (18:53:12) | DEBUG: Using locale en_US.UTF-8
2022/08/05 (18:53:12) | INFO: Running on /dev/pts/0
2022/08/05 (18:54:36) | INFO: Quitting! Runtime: 00:01:24

2022/08/05 (18:54:53) | ===> btop++ v.1.2.8
2022/08/05 (18:54:53) | INFO: Logger set to DEBUG
2022/08/05 (18:54:53) | DEBUG: Using locale en_US.UTF-8
2022/08/05 (18:54:53) | INFO: Running on /dev/pts/0
2022/08/05 (18:55:02) | INFO: Quitting! Runtime: 00:00:09

2022/08/06 (17:30:30) | ===> btop++ v.1.2.8
2022/08/06 (17:30:30) | INFO: Logger set to DEBUG
2022/08/06 (17:30:30) | DEBUG: Using locale en_US.UTF-8
2022/08/06 (17:30:30) | INFO: Running on /dev/pts/1

2022/08/06 (17:30:53) | ===> btop++ v.1.2.8
2022/08/06 (17:30:53) | INFO: Logger set to DEBUG
2022/08/06 (17:30:53) | DEBUG: Using locale en_US.UTF-8
2022/08/06 (17:30:53) | INFO: Running on /dev/pts/1

2022/08/06 (17:31:39) | ===> btop++ v.1.2.8
2022/08/06 (17:31:39) | INFO: Logger set to DEBUG
2022/08/06 (17:31:39) | DEBUG: Using locale en_US.UTF-8
2022/08/06 (17:31:39) | INFO: Running on /dev/pts/1
2022/08/06 (17:31:50) | INFO: Quitting! Runtime: 00:00:11

2022/08/06 (17:51:29) | ===> btop++ v.1.2.8
2022/08/06 (17:51:29) | INFO: Logger set to DEBUG
2022/08/06 (17:51:29) | DEBUG: Using locale en_US.UTF-8
2022/08/06 (17:51:29) | INFO: Running on /dev/pts/0
2022/08/06 (17:51:36) | INFO: Quitting! Runtime: 00:00:07

2022/08/06 (17:51:50) | ===> btop++ v.1.2.8
2022/08/06 (17:51:50) | INFO: Logger set to DEBUG
2022/08/06 (17:51:50) | DEBUG: Using locale en_US.UTF-8
2022/08/06 (17:51:50) | INFO: Running on /dev/pts/0
2022/08/06 (17:51:53) | INFO: Quitting! Runtime: 00:00:03

2022/08/06 (18:16:03) | ===> btop++ v.1.2.8
2022/08/06 (18:16:03) | INFO: Logger set to DEBUG
2022/08/06 (18:16:03) | DEBUG: Using locale en_US.UTF-8
2022/08/06 (18:16:03) | INFO: Running on /dev/pts/0
2022/08/06 (18:16:07) | INFO: Quitting! Runtime: 00:00:04

2022/08/06 (18:26:06) | ===> btop++ v.1.2.8
2022/08/06 (18:26:06) | INFO: Logger set to DEBUG
2022/08/06 (18:26:06) | DEBUG: Using locale en_US.UTF-8
2022/08/06 (18:26:06) | INFO: Running on /dev/pts/0

2022/08/06 (18:39:57) | ===> btop++ v.1.2.8
2022/08/06 (18:39:57) | INFO: Logger set to DEBUG
2022/08/06 (18:39:57) | DEBUG: Using locale en_US.UTF-8
2022/08/06 (18:39:57) | ERROR: No tty detected!
btop++ needs an interactive shell to run.
2022/08/06 (18:39:57) | INFO: Quitting! Runtime: 00:00:00

2022/08/07 (12:31:25) | ===> btop++ v.1.2.8
2022/08/07 (12:31:25) | INFO: Logger set to DEBUG
2022/08/07 (12:31:25) | DEBUG: Using locale en_US.UTF-8
2022/08/07 (12:31:25) | ERROR: No tty detected!
btop++ needs an interactive shell to run.
2022/08/07 (12:31:25) | INFO: Quitting! Runtime: 00:00:00

2022/08/07 (13:39:59) | ===> btop++ v.1.2.8
2022/08/07 (13:39:59) | INFO: Logger set to DEBUG
2022/08/07 (13:39:59) | DEBUG: Using locale en_US.UTF-8
2022/08/07 (13:39:59) | INFO: Running on /dev/pts/4

2022/08/07 (16:04:38) | ===> btop++ v.1.2.8
2022/08/07 (16:04:38) | INFO: Logger set to DEBUG
2022/08/07 (16:04:38) | DEBUG: Using locale en_US.UTF-8
2022/08/07 (16:04:38) | INFO: Running on /dev/pts/2

2022/08/07 (21:00:29) | ===> btop++ v.1.2.8
2022/08/07 (21:00:29) | INFO: Logger set to DEBUG
2022/08/07 (21:00:29) | DEBUG: Using locale en_US.UTF-8
2022/08/07 (21:00:29) | INFO: Running on /dev/pts/0

2022/08/07 (21:11:49) | ===> btop++ v.1.2.8
2022/08/07 (21:11:49) | INFO: Logger set to DEBUG
2022/08/07 (21:11:49) | DEBUG: Using locale en_US.UTF-8
2022/08/07 (21:11:49) | INFO: Running on /dev/pts/0
2022/08/07 (21:12:00) | INFO: Quitting! Runtime: 00:00:11

2022/08/07 (21:16:59) | ===> btop++ v.1.2.8
2022/08/07 (21:16:59) | INFO: Logger set to DEBUG
2022/08/07 (21:16:59) | DEBUG: Using locale en_US.UTF-8
2022/08/07 (21:16:59) | INFO: Running on /dev/pts/0
2022/08/07 (21:17:08) | INFO: Quitting! Runtime: 00:00:09

2022/08/07 (21:31:59) | ===> btop++ v.1.2.8
2022/08/07 (21:31:59) | INFO: Logger set to DEBUG
2022/08/07 (21:31:59) | DEBUG: Using locale en_US.UTF-8
2022/08/07 (21:31:59) | INFO: Running on /dev/pts/0

2022/08/07 (22:32:44) | ===> btop++ v.1.2.8
2022/08/07 (22:32:44) | INFO: Logger set to DEBUG
2022/08/07 (22:32:44) | DEBUG: Using locale en_US.UTF-8
2022/08/07 (22:32:44) | INFO: Running on /dev/pts/0

2022/08/08 (22:54:52) | ===> btop++ v.1.2.8
2022/08/08 (22:54:52) | INFO: Logger set to DEBUG
2022/08/08 (22:54:52) | DEBUG: Using locale en_US.UTF-8
2022/08/08 (22:54:52) | INFO: Running on /dev/pts/2
2022/08/08 (22:55:41) | DEBUG: Writing new config file
2022/08/08 (22:55:41) | INFO: Quitting! Runtime: 00:00:49

2022/08/08 (22:55:42) | ===> btop++ v.1.2.8
2022/08/08 (22:55:42) | INFO: Logger set to DEBUG
2022/08/08 (22:55:42) | DEBUG: Using locale en_US.UTF-8
2022/08/08 (22:55:42) | INFO: Running on /dev/pts/2
2022/08/08 (22:56:04) | DEBUG: Writing new config file
2022/08/08 (22:56:04) | INFO: Quitting! Runtime: 00:00:22

2022/08/08 (22:56:06) | ===> btop++ v.1.2.8
2022/08/08 (22:56:06) | INFO: Logger set to DEBUG
2022/08/08 (22:56:06) | DEBUG: Using locale en_US.UTF-8
2022/08/08 (22:56:06) | INFO: Running on /dev/pts/2
2022/08/08 (22:57:00) | DEBUG: Loading theme file: /usr/share/btop/themes/tomorrow-night.theme
2022/08/08 (22:57:00) | DEBUG: Loading theme file: /usr/share/btop/themes/HotPurpleTrafficLight.theme
2022/08/08 (22:57:01) | DEBUG: Loading theme file: /usr/share/btop/themes/gruvbox_dark.theme
2022/08/08 (22:57:02) | DEBUG: Loading theme file: /usr/share/btop/themes/night-owl.theme
2022/08/08 (22:57:06) | DEBUG: Loading theme file: /usr/share/btop/themes/gruvbox_dark.theme
2022/08/08 (22:57:06) | DEBUG: Loading theme file: /usr/share/btop/themes/HotPurpleTrafficLight.theme
2022/08/08 (22:57:06) | DEBUG: Loading theme file: /usr/share/btop/themes/tomorrow-night.theme
2022/08/08 (23:09:59) | DEBUG: Loading theme file: /usr/share/btop/themes/tomorrow-night.theme
2022/08/08 (23:09:59) | DEBUG: Loading theme file: /usr/share/btop/themes/HotPurpleTrafficLight.theme
2022/08/08 (23:10:00) | DEBUG: Loading theme file: /usr/share/btop/themes/gruvbox_dark.theme
2022/08/08 (23:10:00) | DEBUG: Loading theme file: /usr/share/btop/themes/night-owl.theme
2022/08/08 (23:10:00) | DEBUG: Loading theme file: /usr/share/btop/themes/matcha-dark-sea.theme
2022/08/08 (23:10:01) | DEBUG: Loading theme file: /usr/share/btop/themes/onedark.theme
2022/08/08 (23:10:01) | DEBUG: Loading theme file: /usr/share/btop/themes/gruvbox_dark_v2.theme
2022/08/08 (23:10:01) | DEBUG: Loading theme file: /usr/share/btop/themes/kyli0x.theme
2022/08/08 (23:10:01) | DEBUG: Loading theme file: /usr/share/btop/themes/flat-remix.theme
2022/08/08 (23:10:02) | DEBUG: Loading theme file: /usr/share/btop/themes/greyscale.theme
2022/08/08 (23:10:02) | DEBUG: Loading theme file: /usr/share/btop/themes/everforest-dark-hard.theme
2022/08/08 (23:10:02) | DEBUG: Loading theme file: /usr/share/btop/themes/nord.theme
2022/08/08 (23:10:02) | DEBUG: Loading theme file: /usr/share/btop/themes/solarized_dark.theme
2022/08/08 (23:10:03) | DEBUG: Loading theme file: /usr/share/btop/themes/whiteout.theme
2022/08/08 (23:10:03) | DEBUG: Loading theme file: /usr/share/btop/themes/dusklight.theme
2022/08/08 (23:10:04) | DEBUG: Loading theme file: /usr/share/btop/themes/ayu.theme
2022/08/08 (23:10:05) | DEBUG: Loading theme file: /usr/share/btop/themes/adapta.theme
2022/08/08 (23:10:06) | DEBUG: Loading theme file: /usr/share/btop/themes/dracula.theme
2022/08/08 (23:10:07) | DEBUG: Loading theme file: /usr/share/btop/themes/flat-remix-light.theme
2022/08/08 (23:10:08) | DEBUG: Loading theme file: /usr/share/btop/themes/gruvbox_material_dark.theme
